code_pra,ratio,valeur
45067,r1_sau_surf,0.42549402148795246
45342,r1_sau_surf,0.8759931151101623
45343,r1_sau_surf,0.18481039611730576
46159,r1_sau_surf,0.3124135767539792
46160,r1_sau_surf,0.40659019644450917
46394,r1_sau_surf,0.5004327942665547
46396,r1_sau_surf,0.5068745063497905
46407,r1_sau_surf,0.3119836407542591
46408,r1_sau_surf,0.5947056159470552
46409,r1_sau_surf,0.4923968154382862
47156,r1_sau_surf,0.6510520864512385
47157,r1_sau_surf,0.4597641892465099
47378,r1_sau_surf,0.08842342368291908
27351,r1_sau_surf,0.8130449866415269
48410,r1_sau_surf,0.29383857283027226
48411,r1_sau_surf,0.6171423739530961
48418,r1_sau_surf,0.666650007200678
48419,r1_sau_surf,0.8872568377804926
49344,r1_sau_surf,0.47170179131535583
49345,r1_sau_surf,0.4879453941641135
49347,r1_sau_surf,0.5864589476641294
49356,r1_sau_surf,0.6827593056704013
49373,r1_sau_surf,0.7046574073636603
50082,r1_sau_surf,0.5875191984400233
50084,r1_sau_surf,0.7911453370995055
50086,r1_sau_surf,0.6896081926261242
50087,r1_sau_surf,0.7220131777375773
50354,r1_sau_surf,0.7247872811696884
51016,r1_sau_surf,0.751422762530724
51017,r1_sau_surf,0.5088828825697147
51018,r1_sau_surf,0.688298599556602
51315,r1_sau_surf,0.39032615241110646
51317,r1_sau_surf,0.8031708773079161
51318,r1_sau_surf,0.6745233029605977
51321,r1_sau_surf,0.5095736693072385
51335,r1_sau_surf,0.6359217096553975
51336,r1_sau_surf,0.5852680531876543
68301,r1_sau_surf,0.45334853609017167
52310,r1_sau_surf,0.7012521407863693
68303,r1_sau_surf,0.5230947811157558
52322,r1_sau_surf,0.5561441046265062
53095,r1_sau_surf,0.7371524216723739
53096,r1_sau_surf,0.6460966471424654
53356,r1_sau_surf,0.7857212304441976
53357,r1_sau_surf,0.7413176585157706
54305,r1_sau_surf,0.41616889717698846
54306,r1_sau_surf,0.564479005255676
54316,r1_sau_surf,0.721493931080704
55308,r1_sau_surf,0.6473614523595431
55314,r1_sau_surf,0.5129178274102478
55315,r1_sau_surf,0.5909786182864606
55316,r1_sau_surf,0.5940507435949569
56359,r1_sau_surf,0.6315623837562652
56362,r1_sau_surf,0.605550584059569
58443,r1_sau_surf,0.4607208446662796
59025,r1_sau_surf,0.7917419154645969
59026,r1_sau_surf,0.40401967011743223
59028,r1_sau_surf,0.3977655348833631
59033,r1_sau_surf,0.6493460840803889
59323,r1_sau_surf,0.6071636360281477
59324,r1_sau_surf,0.6245072185648873
59325,r1_sau_surf,0.5330179184831744
59326,r1_sau_surf,0.7708292893640324
60041,r1_sau_surf,0.7081395679516411
60042,r1_sau_surf,0.43762778974249184
60043,r1_sau_surf,0.5899587090144031
60327,r1_sau_surf,0.783526697058844
60329,r1_sau_surf,0.5208739781717499
60330,r1_sau_surf,0.7365225128359845
60331,r1_sau_surf,0.6936718336839031
61351,r1_sau_surf,0.6424789545249925
62032,r1_sau_surf,0.8168944348118657
62039,r1_sau_surf,0.751091252772941
70448,r1_sau_surf,0.3946086224515055
71443,r1_sau_surf,0.43995732086525136
71444,r1_sau_surf,0.4670800892619982
71446,r1_sau_surf,0.5759315537432612
72089,r1_sau_surf,0.47393678406672873
63425,r1_sau_surf,0.2547340336870887
63426,r1_sau_surf,0.6820422083290877
63427,r1_sau_surf,0.6327210643100774
63428,r1_sau_surf,0.6170320656684624
64379,r1_sau_surf,0.5344919502209239
64380,r1_sau_surf,0.4583674868734051
64381,r1_sau_surf,0.6378418578237448
64382,r1_sau_surf,0.6223119791756108
65146,r1_sau_surf,0.5871456313682336
65148,r1_sau_surf,0.5303477259698731
65150,r1_sau_surf,0.5363498572335654
72091,r1_sau_surf,0.6139491356373336
66252,r1_sau_surf,0.28610994116800315
66253,r1_sau_surf,0.2746878676125802
72350,r1_sau_surf,0.5257141969951571
72351,r1_sau_surf,0.6448203523682446
72354,r1_sau_surf,0.7235914186301132
67301,r1_sau_surf,0.46917979969650775
67302,r1_sau_surf,0.5002285068144945
67304,r1_sau_surf,0.5286260855042026
67307,r1_sau_surf,0.12886689772026946
67473,r1_sau_surf,0.5599737962943545
68001,r1_sau_surf,0.49242909399556734
69200,r1_sau_surf,0.22652046198897327
69444,r1_sau_surf,0.452746379218862
69445,r1_sau_surf,0.4884127789552042
73219,r1_sau_surf,0.3134631359692551
73229,r1_sau_surf,0.34844695130458425
73451,r1_sau_surf,0.3810704415611456
74458,r1_sau_surf,0.15285929229090706
76046,r1_sau_surf,0.6776349097391121
76047,r1_sau_surf,0.6620398495479155
76048,r1_sau_surf,0.695372013237766
76049,r1_sau_surf,0.5369515169390499
76331,r1_sau_surf,0.6820115882654441
76332,r1_sau_surf,0.2811152531613234
73458,r1_sau_surf,0.3717304638067066
74218,r1_sau_surf,0.2106257428318543
74222,r1_sau_surf,0.3230313197121849
74223,r1_sau_surf,0.25649626422089167
74224,r1_sau_surf,0.3080659434777823
74226,r1_sau_surf,0.28440239865129396
74227,r1_sau_surf,0.33404531432469947
77057,r1_sau_surf,0.3391524233861806
77058,r1_sau_surf,0.8232153629631966
77061,r1_sau_surf,0.4963462533664274
77062,r1_sau_surf,0.41893268390892846
77064,r1_sau_surf,0.24756298264062662
77320,r1_sau_surf,0.6034212385541076
77329,r1_sau_surf,0.6956206774177566
77336,r1_sau_surf,0.7476053875686062
78334,r1_sau_surf,0.7367381272804855
79371,r1_sau_surf,0.7415471434895565
79373,r1_sau_surf,0.7601060554443143
80035,r1_sau_surf,0.8220254722002311
80036,r1_sau_surf,0.7514787667371288
